product_id,main_category,name,count_sold,final_price,original_price,stock,is_official,rating_average,shop_location,discount_percentage
102331688849,dapur,SANGO Set Mug Gisella Cream (Isi 2),0,181500,,90,f,5,Semarang,0
100742977599,dapur,SANGO Set Peralatan Makan Tifa Kainaka (Isi 4),0,248400,276000,10,f,5,Semarang,10.00
3771004019,dapur,Sango StrEAT Dip Bowl (Isi 4) - Hampers,0,237215,249700,59,f,5,Semarang,5.00
1616118771,dapur,SANGO Mangkuk Makan Baby Blue (Isi 1),0,209000,220000,49,f,5,Semarang,5.00
16280574192,dapur,SANGO Set Peralatan Makan Starlit Noor (Isi 4),0,229900,242000,11,f,5,Semarang,5.00
16280695268,dapur,SANGO Bashirah Tray (Isi 1),0,129580,136400,76,f,5,Semarang,5.00
100586627193,dapur,SANGO Set Piring Kaden Stackable Temare (Isi 2),0,160000,200000,4,f,5,Semarang,20.00
1927661906,dapur,SANGO Piring Salad Mazey (Isi 1),0,58781,61875,15,f,5,Semarang,5.00
9656355586,dapur,SANGO Set Peralatan Makan Marrakesh Orange (isi 4) - Hampers,0,276925,291500,3,f,5,Semarang,5.00
6462658782,dapur,ecentio 1L Tempat Makan Stainless Steel Lunch box Kotak Makan BPA Free,7486,140000,300800,235,t,4.9,Kab. Bekasi,53.46
100591550012,dapur,[Spesial Celyhome] [COD] Cypruz Cookware Set Mini Pastel Series Wajan Set Premium Anti Lengket 4 Pcs Kitchenware,0,299000,897000,9,f,5,Jakarta Utara,66.67
100591550010,dapur,[Dokmil] [COD] Cypruz Panci Susu Anti Lengket Sauce Pan Premium Featherlight Series Abu Kitchenware 18 cm,0,129099,377100,10,f,5,Jakarta Utara,65.77
3204421486,dapur,ecentio 1100ml kotak makan free sendok lunch box tas bekal set,2971,56500,156000,444,t,4.9,Kab. Bekasi,63.78
4224385855,dapur,Casserole Panci Marble 20 /24 cm GREY Induksi Yoshikawa Keramik Abu - 24cm T11,0,239900,,5,f,,Jakarta Barat,0
6611038871,dapur,"Kuali 26 / 28 / 30 cm Yoshikawa Minowa Marble Induksi FryWok Wokpan - Coklat Putih, 30 cm",0,224900,234900,3,f,,Jakarta Barat,4.26
9794992470,dapur,BOLDe Sauce Pan 18 cm + Lid Glass Granite Ceramic Anti Lengket - Black - 18CM/BEIGE,0,234600,,56,f,,Jakarta Timur,0
6825735730,dapur,Fry Pan 20 / 24 cm Cookmaster Wajan Anti Lengket - 20 cm,0,164900,,1,f,,Jakarta Barat,0
14123753473,dapur,"PANCI FRY PAN ROSCHELL MARBLE ESENTIO SERIES 18 CM - 24 CM Anti Lengket Anti Gores - UNGU LAVENDER, 18 CM",0,86000,,44,f,,Jakarta Timur,0
4667056995,dapur,Asta Panci Susu Stainless Steel Gagang Kayu-Asta Sauce Pan 18cm Free Sumpit,0,109300,130200,471,f,5,Bekasi,16.05
1099398663,dapur,Asta Panci 4 Susun Set Classic Pot Stainless Steel 10 pcs Lebih Tebal,0,227800,285320,309,f,4.9,Kab. Sidoarjo,20.16
660922887,dapur,Asta Panci Set Stainless Steel Dandang Kukusan Tutup Kaca Stock Pot Duo Set 2 pcs Peralatan Dapur,0,358500,363720,98,f,4.9,Kab. Sidoarjo,1.44
446283159,dapur,Panci Kukusan Stainless Steel Steamer Stock Pot Set 4 pcs,0,558000,630600,2,f,4.9,Bekasi,11.51
12744134788,dapur,Asta Wajan Stainless Steel Oriental Wok Penggorengan Tebal 26 cm Kitchenware Peralatan Masak,0,92300,174100,54,f,4.9,Kab. Sidoarjo,46.98
100594374273,dapur,Cypruz Cookware Set Baby Collection Colorful 3 in1 Wajan Set Anti Lengket 3 Pcs,0,349000,1047000,12,f,5,Jakarta Utara,66.67
2092317082,dapur,Wajan Alumunium Aluko 40 cm Tebal. Wok Aluko by Supra - 32cm,0,190000,,38,f,,Tangerang,0
4647251254,dapur,[Not For Sale] Cussons Gift - Maxim Frying Pan 12cm,0,999999,,77,f,5,Jakarta Barat,0
11224297707,dapur,Amercook Sauce Pan Induction Honey Comb Panci ARISTO Premium Non stick,0,517300,,12,f,5,Bogor,0
100559318966,dapur,Amercook Panci Soup Induction Casserole Ipot Series 24 Cm Panci Anti Lengket,0,1524300,,55,f,5,Bogor,0
1763057957,dapur,Amercook Alfetta Baby Angel Series Fry Pan + Sauce Pan Package -16cm,0,635700,,15,f,5,Bogor,0
16603978598,dapur,Gift - Panci Mie (Hadiah Gratis),0,999999,,45,f,5,Jakarta Barat,0
2280795608,dapur,MODENA ZY2402 panci induction WALDERMAR sauteuse pan 3 liter dia.24 cm,0,899000,,27,f,5,Jakarta Selatan,0
7399078055,dapur,Panci Masak Montbell Alpine Cooker 18,0,425000,,5,f,5,Bogor,0
271189168,dapur,OXONE - Performa Cookware Set 10 PCS OX997,0,925500,,18,f,5,Jakarta Pusat,0
2278216084,dapur,Alat Masak Amercook AluminiumK-White Series Panci Wajan Anti Lengket,0,724200,,8,f,5,Bogor,0
2237763195,dapur,[COD] Cypruz Diecast Series Sauce Pan Alumunium / Panci Susu Alumunium Kitchenware,0,435000,957000,15,f,5,Jakarta Utara,54.55
2336853129,dapur,Tatakan Panci Anti Gosong / Fast Defrosting / Alas Panci Serbaguna,0,299000,,8,f,5,Jakarta Utara,0
271449690,dapur,Oxone - Cookware Set OX933,0,969500,,242,f,5,Jakarta Pusat,0
271273322,dapur,Oxone - Cookware Set OX911,0,784000,,20,f,5,Jakarta Pusat,0
100411121268,dapur,Amercook Fry Pan + Sauce Pan 16 cm Package - Alfetta Baby Angel Series 3 Colour Aluminium Cream,0,572130,635700,29,f,5,Bogor,10.00
3507536788,dapur,Panci susu stainless steel gagang warna tebal / Panci Indomie,0,100000,,94,f,5,Jakarta Utara,0
2469926194,dapur,VESTA - Sauce Pan Marble Non Stick Diameter 20 Cm Anti Lengket SP20,0,180000,,15,f,5,Jakarta Pusat,0
12932012921,dapur,Kohana Enamel Cast Iron FREE Measuring Cup,0,899000,,50,f,5,Jakarta Utara,0
100591550118,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Mini Forged Series Kitchenware,0,88000,193600,6,f,5,Jakarta Utara,54.55
100591550034,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Casserole  20 CM Nude Panci Anti Lengket Dengan Tutup Casserole High Hercules Series,0,299000,897000,15,f,5,Jakarta Utara,66.67
11272904462,dapur,Amercook Sauce Pan Induction Honey Comb Premium Non stick Panci Aristo,0,465300,,12,f,5,Bogor,0
14799489234,dapur,Maspion Teflon New Prisma Wok 30 cm,0,88282,157800,1,f,5,Malang,44.05
15143660511,dapur,Maspion Panci Tinggi TL 24 cm Aluminium Panci Rebus - MN,0,51895,89800,288,f,5,Bekasi,42.21
100591550020,dapur,[Spesial Koko Panci] [COD] Cypruz Cookware Set Granite Diecast Baby Collection Wajan Set Anti Lengket 4 Pcs Frypan Masak Kitchenware,0,299000,633600,17,f,5,Jakarta Utara,52.81
100584567199,dapur,[SPECIAL LIVE] Cypruz Tamagoyaki Panci Wajan Penggorengan Telur Anti Lengket Grey Marble Series,0,161000,363000,33,f,5,Jakarta Utara,55.65
100591550196,dapur,[COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Pink Ceramic Series Keramik Masak Kitchenware,0,270999,594000,10,f,5,Jakarta Utara,54.38
100591550129,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Panci Susu Anti Lengket Sauce Pan Premium Hercules Series Grey Kitchenware Abu 16 cm,0,135000,288200,14,f,5,Jakarta Utara,53.16
16549512071,dapur,[COD] Cypruz Tamagoyaki Pan 2in1  Egg Roll Pan + Grill Serbaguna,0,219000,657000,11,f,5,Jakarta Utara,66.67
14809571734,fashion_anak,Rugers By Kayamani - Dress Anak Perempuan - Unicorn Haunted hues Dress,3,144900,,6,t,5,Kota Tangerang Selatan,0
16148991124,dapur,[COD] Cypruz Cookware Set Detachable Granite Diecast Wajan Set Premium Anti Lengket 3 Pcs Gagang Bisa Dilepas Blue Collection,0,435000,1305000,15,f,5,Jakarta Utara,66.67
12835283682,dapur,[SPECIAL LIVE] Cypruz Cookware Set Granite Diecast Baby Collection Wajan Set Anti Lengket 4 Pcs Frypan Masak Kitchenware,0,292000,633600,18,f,5,Jakarta Utara,53.91
2500007500,dapur,Cypruz Cookware Set White Granite Basic Panci Set Anti Lengket 5 Pcs,0,444000,648000,13,f,5,Jakarta Utara,31.48
100591550006,dapur,[Dokmil] Cypruz Egg Pan 4 Hole Granite Diecast Wajan Telur Anti Lengket Kitchenware,0,152199,316800,10,f,5,Jakarta Utara,51.96
924620220,dapur,Lodge Cast Iron Combo Double Dutch Oven gril LC6DD Panci Besi 6qz 5.5L,0,2450000,,1,f,5,Tangerang Selatan,0
2237920396,dapur,[COD] Cypruz Wajan Panggangan Tebal Anti Lengket Grill Pan White Granite Series Kitchenware,0,270000,594000,13,f,5,Jakarta Utara,54.55
13997096702,fashion_anak,Rugers By Kayamani - Dress Anak Perempuan - Generation Mimossa dress,3,114665,,5,t,5,Kota Tangerang Selatan,0
100591550202,dapur,[COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Hercules Series Panci Kitchenware Grey,0,108200,231000,15,f,5,Jakarta Utara,53.16
100591550177,dapur,[COD] Cypruz Grey Marble High Casserole Pan / Panci Anti Lengket + Tutup 20 cm Kitchenware,0,432500,951500,10,f,5,Jakarta Utara,54.55
100591550276,dapur,"[SPECIAL KOKO PANCI] [COD] Cypruz Botol Minum Stainless Autumn Series Tahan Panas dan Dingin 24 Jam 0,5 Liter Vacuum",0,123999,244200,2,f,5,Jakarta Utara,49.22
100591550085,dapur,[COD] Cypruz Wajan Penggorengan Anti Lengket Fry Wok Hercules Series Kitchenware,0,135000,288200,26,f,5,Jakarta Utara,53.16
100591550039,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Cookware Set Grey Marble Series Panci Set Anti Lengket Premium 7pcs Kitchenware,0,1304000,2811600,6,f,5,Jakarta Utara,53.62
100190340586,dapur,[Spesial Celyhome] [COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Featherlight Series Abu 18 cm Kitchenware,0,87600,262800,29,f,5,Jakarta Utara,66.67
100591550113,dapur,[Dokmil] [COD] Cypruz Cookware Set Mini Pastel Series Wajan Set Premium Anti Lengket 4 Pcs Kitchenware,0,299999,657800,13,f,5,Jakarta Utara,54.39
100591550050,dapur,[Dokmil] [COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Featherlight Series Abu 20 cm Kitchenware,0,98599,284400,14,f,5,Jakarta Utara,65.33
100591550171,dapur,[COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Featherlight Series Abu 22 cm Kitchenware,0,108200,315000,15,f,5,Jakarta Utara,65.65
100591550056,dapur,[Spesial Celyhome] Cypruz Wok Pan Grey Marble Series Kuali Anti Lengket Dengan Tutup Kitchenware 24 cm,0,330000,990000,10,f,5,Jakarta Utara,66.67
100591550249,dapur,[COD] Cypruz Wajan Kuali Anti Lengket Wok Pan+Tutup Hercules Nude Series 30 cm Kitchenware,0,428000,941600,2,f,5,Jakarta Utara,54.55
100591550168,dapur,[COD] Cypruz Wajan Grey 22 cm Penggorengan Anti Lengket Fry Pan Hercules Series Panci Kitchenware,0,135000,288200,11,f,5,Jakarta Utara,53.16
100591550116,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Panci 24 cm Abu Anti Lengket Dengan Tutup Casserole High Hercules Series,0,367500,1102500,14,f,5,Jakarta Utara,66.67
100591550164,dapur,[Spesial Koko Panci] Cypruz Wajan Penggorengan Anti Lengket Fry Wok Induksi Marble Series Kitchenware 20 cm,0,210000,252000,5,f,5,Jakarta Utara,16.67
100591550147,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Basic Set Grey Marble Series / Set Panci Masak Marble Kitchenware,0,420000,924000,6,f,5,Jakarta Utara,54.55
16101507072,dapur,Cypruz Tutup Panci Stainless Kaca Gagang Kayu Bakelite Bisa Dilepas 20 cm,0,57999,171000,2,f,5,Jakarta Utara,66.08
100591550145,dapur,[Spesial Celyhome] [COD] Cypruz Egg Pan 4 Hole Granite Diecast Wajan Telur Anti Lengket Kitchenware,0,148400,445200,14,f,5,Jakarta Utara,66.67
100591550247,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Botol Minum Stainless Summer Series Tahan Panas dan Dingin 48 Jam 500 ML Vacuum,0,142999,327800,6,f,5,Jakarta Utara,56.38
100591550072,dapur,[SPESIAL KOKO PANCI] [COD] Cypruz Cookware Set Granite Diecast Panci Premium Anti Lengket 8 pcs,0,1298000,2999999,12,f,5,Jakarta Utara,56.73
16149110975,dapur,[COD] Cypruz Cookware Set Detachable Granite Diecast Wajan Set Premium Anti Lengket 6 Pcs Gagang Bisa Dilepas Shadow Navy Collection,0,665000,1995000,15,f,5,Jakarta Utara,66.67
100591550032,dapur,[Dokmil] [COD] Cypruz Basic Set Grey Marble Series / Set Panci Masak Marble Kitchenware,0,429999,924000,14,f,5,Jakarta Utara,53.46
7359374062,dapur,Cypruz Casserole Pan Stock Pot Panci Anti Lengket White Granit Diecast,0,393499,471000,12,f,5,Jakarta Utara,16.45
586681186,dapur,Panci Alumunium Lokal Ayano 20,0,75000,,33,f,5,Tangerang Selatan,0
100591550053,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Wajan Pan 18cm COKELAT KAYU Penggorengan Anti Lengket Fry Pan Hercules Series Panci Kitchenware Grey 18 cm,0,108200,315000,8,f,5,Jakarta Utara,65.65
100591550024,dapur,[Dokmil] [COD] Cypruz Wajan Kuali Abu 30 cm Anti Lengket Tanpa Tutup Featherlight Series Kitchenware,0,249799,729300,13,f,5,Jakarta Utara,65.75
1950186434,dapur,Sauce Pan + Lid / PancI Saus Granite Diecast Series,0,328000,468000,11,f,5,Jakarta Utara,29.91
100591550140,dapur,[Spesial Koko Panci] Cypruz Wok Pan Grey Marble Series Kuali Anti Lengket Dengan Tutup Kitchenware 24 cm,0,337999,396000,11,f,5,Jakarta Utara,14.65
100591550217,dapur,"[SPECIAL KOKO PANCI] [COD] Cypruz Botol Minum Stainless Spring Series Tahan Panas dan Dingin 36 Jam 0,45 Liter Vacuum",0,110000,316800,10,f,5,Jakarta Utara,65.28
100190342711,dapur,[Spesial Celyhome] [COD] Cypruz Wajan Penggorengan Anti Lengket Fry Pan Featherlight Series Abu 20 cm Kitchenware,0,94800,284400,29,f,5,Jakarta Utara,66.67
100190347932,dapur,[Spesial Celyhome] [COD] Cypruz Panci Susu Anti Lengket Sauce Pan Premium Featherlight Series Abu Kitchenware 18 cm,0,125700,377100,14,f,5,Jakarta Utara,66.67
100591550135,dapur,[SPECIAL KOKO PANCI] [COD] Cypruz Wajan Wok COKELAT KAYU Penggorengan Anti Lengket Fry Wok Hercules Series 22 cm Abu Kitchenware,0,149400,432000,8,f,5,Jakarta Utara,65.42
6458700388,dapur,Maxim Wajan Cekung Deep Wok Neostone 24 cm,0,165608,297800,1097,f,5,Kab. Tangerang,44.39
12485667898,dapur,Luminarc Vitro Casserole 3 Liter Panci Kompor Tahan Api ALANISE HIJAU,0,795000,875000,10,f,5,Semarang,9.14
